order_id,warehouse,shipping_mode,planned_delivery_days,processing_days,actual_delivery_days,shipping_cost,handling_cost,return_flag,return_reason,return_cost,backorder_flag,on_time_flag
ORD-00026,Newark DC,Standard,5,1.4,4.0,24.81,3.44,0,,0.0,0,1
ORD-00027,Atlanta DC,Express,3,1.6,3.4,27.89,2.79,0,,0.0,0,0
ORD-00028,Newark DC,Freight,7,1.5,7.1,29.95,3.37,0,,0.0,0,0
ORD-00029,Reno DC,Standard,6,1.3,6.9,32.24,3.62,0,,0.0,0,0
ORD-00030,Atlanta DC,Express,3,1.5,2.0,44.39,3.78,0,,0.0,0,1
ORD-00031,Atlanta DC,Freight,7,2.0,6.4,14.75,2.2,0,,0.0,0,1
ORD-00032,Chicago DC,Standard,4,1.6,2.5,80.36,8.61,0,,0.0,0,1
ORD-00033,Chicago DC,Express,2,2.1,1.0,67.4,7.39,0,,0.0,0,1
ORD-00034,Atlanta DC,Standard,5,2.1,5.2,19.69,2.71,0,,0.0,0,0
ORD-00035,Reno DC,Freight,8,2.0,7.0,18.41,2.53,0,,0.0,0,1
ORD-00036,Dallas DC,Express,4,1.3,2.5,17.48,2.38,0,,0.0,0,1
ORD-00037,Atlanta DC,Standard,5,2.1,4.2,14.6,2.92,0,,0.0,0,1
ORD-00038,Chicago DC,Standard,4,1.3,3.3,90.12,9.65,0,,0.0,0,1
ORD-00039,Chicago DC,Freight,6,2.0,6.3,35.58,4.17,0,,0.0,0,0
ORD-00040,Reno DC,Standard,6,1.6,5.9,26.52,3.18,0,,0.0,0,1
ORD-00041,Atlanta DC,Express,3,4.2,4.5,26.56,6.17,0,,0.0,1,0
ORD-00042,Chicago DC,Freight,6,2.0,4.5,21.65,2.78,0,,0.0,0,1
ORD-00043,Atlanta DC,Standard,5,1.9,4.3,56.18,7.85,0,,0.0,0,1
ORD-00044,Dallas DC,Standard,6,1.7,5.6,35.6,4.98,0,,0.0,0,1
ORD-00045,Atlanta DC,Standard,5,2.0,5.1,12.93,2.55,0,,0.0,0,0
ORD-00046,Newark DC,Express,3,1.8,3.0,61.46,5.55,0,,0.0,0,1
ORD-00047,Newark DC,Standard,5,1.7,4.5,16.92,2.67,1,Style preference,46.57,0,1
ORD-00048,Chicago DC,Standard,4,1.4,2.5,9.64,2.26,0,,0.0,0,1
ORD-00049,Dallas DC,Standard,6,3.3,6.8,63.27,10.96,0,,0.0,1,0
ORD-00050,Chicago DC,Freight,6,1.7,4.5,37.45,3.75,0,,0.0,0,1
ORD-00051,Reno DC,Standard,6,1.7,6.5,122.35,11.85,0,,0.0,0,0
ORD-00052,Reno DC,Standard,6,1.4,6.2,25.5,3.01,0,,0.0,0,0
ORD-00053,Atlanta DC,Freight,7,1.4,6.0,16.86,2.55,0,,0.0,0,1
ORD-00054,Chicago DC,Express,2,1.3,1.6,10.24,2.14,0,,0.0,0,1
ORD-00055,Chicago DC,Freight,6,2.4,4.5,23.22,3.11,0,,0.0,0,1
ORD-00056,Atlanta DC,Express,3,2.1,3.9,11.6,2.05,0,,0.0,0,0
ORD-00057,Reno DC,Express,4,1.8,3.9,44.18,4.84,0,,0.0,0,1
ORD-00058,Chicago DC,Standard,4,1.5,3.8,41.67,5.68,0,,0.0,0,1
ORD-00059,Newark DC,Standard,5,1.5,3.5,113.63,12.1,0,,0.0,0,1
ORD-00060,Dallas DC,Standard,6,0.9,5.4,32.98,3.66,0,,0.0,0,1
ORD-00061,Chicago DC,Standard,4,1.6,2.5,11.79,2.98,0,,0.0,0,1
ORD-00062,Newark DC,Express,3,1.9,4.0,21.86,3.14,0,,0.0,0,0
ORD-00063,Newark DC,Standard,5,1.8,3.5,32.49,3.71,0,,0.0,0,1
ORD-00064,Dallas DC,Freight,8,1.5,6.5,13.78,2.25,1,Setup difficulty,22.56,0,1
ORD-00065,Newark DC,Standard,5,1.4,3.5,133.72,13.71,0,,0.0,0,1
ORD-00066,Dallas DC,Standard,6,2.5,8.3,36.03,4.08,0,,0.0,0,0
ORD-00067,Atlanta DC,Standard,5,1.3,4.4,52.49,4.88,0,,0.0,0,1
ORD-00068,Dallas DC,Freight,8,1.7,6.8,83.61,6.98,0,,0.0,0,1
ORD-00069,Dallas DC,Express,4,1.6,3.7,26.82,3.28,0,,0.0,0,1
ORD-00070,Chicago DC,Standard,4,1.8,4.1,17.24,2.73,0,,0.0,0,0
ORD-00071,Reno DC,Express,4,1.8,3.5,15.67,2.3,0,,0.0,0,1
ORD-00072,Newark DC,Express,3,1.5,2.3,14.12,2.38,0,,0.0,0,1
ORD-00073,Newark DC,Express,3,3.2,5.7,29.92,6.43,0,,0.0,1,0
ORD-00074,Chicago DC,Standard,4,1.6,4.4,61.3,6.39,0,,0.0,0,0
ORD-00075,Reno DC,Freight,8,2.1,7.8,20.35,2.66,0,,0.0,0,1
ORD-00076,Newark DC,Standard,5,1.9,3.5,47.91,4.43,0,,0.0,0,1
ORD-00077,Newark DC,Freight,7,1.6,5.7,21.0,2.14,0,,0.0,0,1
ORD-00078,Atlanta DC,Express,3,1.7,3.8,26.92,2.78,0,,0.0,0,0
ORD-00079,Reno DC,Express,4,1.3,4.7,19.21,2.54,0,,0.0,0,0
ORD-00080,Newark DC,Freight,7,1.8,7.6,27.95,3.28,0,,0.0,0,0
ORD-00081,Dallas DC,Express,4,2.5,5.3,19.53,2.2,0,,0.0,0,0
ORD-00082,Chicago DC,Standard,4,1.6,3.6,24.55,3.73,0,,0.0,0,1
ORD-00083,Dallas DC,Standard,6,1.7,4.5,15.13,2.6,0,,0.0,0,1
ORD-00084,Atlanta DC,Freight,7,2.2,9.5,34.39,2.93,0,,0.0,0,0
ORD-00085,Chicago DC,Freight,6,1.3,5.0,42.19,4.79,0,,0.0,0,1
ORD-00086,Chicago DC,Standard,4,2.5,3.9,18.19,3.23,0,,0.0,0,1
ORD-00087,Chicago DC,Freight,6,1.5,6.2,14.66,2.2,0,,0.0,0,0
ORD-00088,Newark DC,Standard,5,1.3,3.5,29.34,4.09,0,,0.0,0,1
ORD-00089,Atlanta DC,Freight,7,2.0,6.1,33.16,3.91,0,,0.0,0,1
ORD-00090,Chicago DC,Freight,6,2.4,4.5,37.03,4.15,0,,0.0,0,1
ORD-00091,Atlanta DC,Express,3,1.2,2.0,43.34,4.22,0,,0.0,0,1
ORD-00092,Reno DC,Freight,8,1.9,8.7,38.4,4.22,0,,0.0,0,0
ORD-00093,Atlanta DC,Standard,5,1.7,5.2,26.57,4.11,0,,0.0,0,0
ORD-00094,Newark DC,Standard,5,2.1,6.0,15.8,3.0,0,,0.0,0,0
ORD-00095,Newark DC,Standard,5,1.3,4.4,31.4,3.58,1,Style preference,400.56,0,1
ORD-00096,Chicago DC,Standard,4,2.1,2.8,49.07,7.3,0,,0.0,0,1
ORD-00097,Atlanta DC,Express,3,2.1,3.4,33.78,3.51,0,,0.0,0,0
ORD-00098,Reno DC,Standard,6,1.4,4.5,141.7,11.86,0,,0.0,0,1
ORD-00099,Atlanta DC,Freight,7,1.2,7.2,16.51,2.43,0,,0.0,0,0
ORD-00100,Reno DC,Freight,8,2.4,8.3,40.23,4.27,0,,0.0,0,0
ORD-00101,Chicago DC,Freight,6,1.7,6.5,14.77,2.12,0,,0.0,0,0
ORD-00102,Chicago DC,Standard,4,1.7,3.6,12.11,2.52,0,,0.0,0,1
ORD-00103,Chicago DC,Express,2,2.1,1.2,40.76,5.24,0,,0.0,0,1
ORD-00104,Atlanta DC,Freight,7,1.8,7.1,40.15,4.12,0,,0.0,0,0
ORD-00105,Atlanta DC,Standard,5,2.1,4.8,27.52,3.74,0,,0.0,0,1
ORD-00106,Reno DC,Freight,8,1.9,8.1,21.45,2.62,0,,0.0,0,0
ORD-00107,Dallas DC,Freight,8,1.4,9.1,61.23,5.02,0,,0.0,0,0
ORD-00108,Atlanta DC,Standard,5,1.5,5.5,34.22,3.78,1,Setup difficulty,2548.16,0,0
ORD-00109,Chicago DC,Standard,4,1.4,3.1,25.6,3.35,0,,0.0,0,1
ORD-00110,Newark DC,Freight,7,2.1,6.0,13.92,2.17,0,,0.0,0,1
ORD-00111,Atlanta DC,Standard,5,1.4,4.8,22.78,3.52,0,,0.0,0,1
ORD-00112,Atlanta DC,Express,3,2.2,3.3,10.97,2.03,0,,0.0,0,0
ORD-00113,Chicago DC,Standard,4,1.6,3.5,55.61,6.68,0,,0.0,0,1
ORD-00114,Newark DC,Express,3,1.6,2.5,102.69,7.77,0,,0.0,0,1
ORD-00115,Newark DC,Standard,5,1.8,3.9,13.04,2.36,0,,0.0,0,1
ORD-00116,Atlanta DC,Freight,7,1.9,6.3,19.21,2.67,0,,0.0,0,1
ORD-00117,Atlanta DC,Freight,7,2.3,7.9,24.51,3.04,0,,0.0,0,0
ORD-00118,Dallas DC,Freight,8,2.6,9.5,50.0,3.66,1,Damaged in transit,219.97,0,0
ORD-00119,Dallas DC,Standard,6,1.4,4.5,175.89,14.35,0,,0.0,0,1
ORD-00120,Chicago DC,Standard,4,1.3,3.9,19.78,3.11,1,Damaged packaging,76.03,0,1
ORD-00121,Newark DC,Standard,5,1.7,5.6,29.87,4.75,0,,0.0,0,0
ORD-00122,Atlanta DC,Express,3,1.5,2.6,53.91,4.56,0,,0.0,0,1
ORD-00123,Newark DC,Standard,5,1.5,3.5,21.72,3.11,0,,0.0,0,1
ORD-00124,Chicago DC,Freight,6,2.0,4.9,43.74,4.59,0,,0.0,0,1
ORD-00125,Chicago DC,Standard,4,2.3,2.5,20.69,4.11,0,,0.0,0,1
ORD-00126,Dallas DC,Standard,6,1.7,6.6,41.73,4.49,0,,0.0,0,0
ORD-00127,Newark DC,Standard,5,1.9,6.3,23.04,3.87,0,,0.0,0,0
ORD-00128,Dallas DC,Standard,6,1.3,6.7,10.79,2.19,0,,0.0,0,0
ORD-00129,Atlanta DC,Freight,7,1.6,6.1,49.24,5.16,0,,0.0,0,1
ORD-00130,Newark DC,Standard,5,1.1,5.8,49.02,4.66,0,,0.0,0,0
ORD-00131,Dallas DC,Standard,6,1.2,4.8,14.39,2.24,1,Damaged in transit,195.59,0,1
ORD-00132,Dallas DC,Standard,6,1.9,4.5,13.27,2.48,0,,0.0,0,1
ORD-00133,Newark DC,Standard,5,1.5,4.9,54.13,6.3,0,,0.0,0,1
ORD-00134,Dallas DC,Standard,6,1.2,4.5,189.32,16.0,0,,0.0,0,1
ORD-00135,Chicago DC,Freight,6,2.2,5.5,27.82,3.14,0,,0.0,0,1
ORD-00136,Chicago DC,Standard,4,1.6,4.4,15.74,2.63,1,Style preference,51.75,0,0
ORD-00137,Chicago DC,Standard,4,1.7,4.5,10.27,2.27,0,,0.0,0,0
ORD-00138,Dallas DC,Standard,6,1.5,5.8,17.3,2.7,0,,0.0,0,1
ORD-00139,Reno DC,Freight,8,1.9,7.8,19.83,2.42,0,,0.0,0,1
ORD-00140,Dallas DC,Freight,8,3.0,8.1,48.3,3.89,0,,0.0,0,0
ORD-00141,Newark DC,Express,3,2.2,2.7,37.68,4.7,0,,0.0,0,1
ORD-00142,Dallas DC,Standard,6,1.3,5.6,16.81,2.91,0,,0.0,0,1
ORD-00143,Chicago DC,Freight,6,2.5,5.1,41.33,4.89,0,,0.0,0,1
ORD-00144,Chicago DC,Express,2,2.4,1.5,11.39,2.31,0,,0.0,0,1
ORD-00145,Newark DC,Standard,5,1.2,3.5,37.89,4.3,0,,0.0,0,1
ORD-00146,Chicago DC,Express,2,1.7,1.7,13.69,2.44,0,,0.0,0,1
ORD-00147,Dallas DC,Standard,6,1.6,4.8,32.22,4.5,0,,0.0,0,1
ORD-00148,Dallas DC,Freight,8,1.8,7.0,35.01,3.18,0,,0.0,0,1
ORD-00149,Chicago DC,Express,2,1.6,1.6,132.21,11.07,0,,0.0,0,1
ORD-00150,Reno DC,Freight,8,1.9,7.1,22.0,2.64,0,,0.0,0,1
ORD-00151,Atlanta DC,Standard,5,1.0,3.5,26.22,3.2,0,,0.0,0,1
ORD-00152,Atlanta DC,Standard,5,1.5,3.9,17.91,2.52,0,,0.0,0,1
ORD-00153,Reno DC,Standard,6,1.1,4.5,105.55,10.32,0,,0.0,0,1
ORD-00154,Reno DC,Express,4,1.4,4.4,10.85,2.02,0,,0.0,0,0
ORD-00155,Newark DC,Standard,5,1.6,3.5,10.56,2.45,0,,0.0,0,1
ORD-00156,Newark DC,Freight,7,2.3,6.8,15.82,2.12,0,,0.0,0,1
ORD-00157,Dallas DC,Standard,6,1.6,6.6,30.02,3.73,0,,0.0,0,0
ORD-00158,Chicago DC,Standard,4,3.5,8.1,19.97,6.17,0,,0.0,1,0
ORD-00159,Reno DC,Standard,6,1.7,5.6,20.88,2.69,0,,0.0,0,1
ORD-00160,Reno DC,Freight,8,1.8,7.1,25.71,3.02,0,,0.0,0,1
ORD-00161,Dallas DC,Express,4,2.1,3.4,39.78,4.16,0,,0.0,0,1
ORD-00162,Reno DC,Freight,8,2.4,7.6,22.33,2.69,0,,0.0,0,1
ORD-00163,Reno DC,Freight,8,1.5,7.6,64.24,5.69,0,,0.0,0,1
ORD-00164,Atlanta DC,Express,3,1.6,1.7,63.31,6.27,0,,0.0,0,1
ORD-00165,Atlanta DC,Standard,5,1.4,4.1,15.98,2.85,0,,0.0,0,1
ORD-00166,Atlanta DC,Express,3,1.7,2.8,54.63,4.94,0,,0.0,0,1
ORD-00167,Dallas DC,Standard,6,1.5,4.9,10.09,2.32,0,,0.0,0,1
ORD-00168,Reno DC,Express,4,1.5,3.5,14.23,2.37,0,,0.0,0,1
ORD-00169,Atlanta DC,Express,3,2.4,2.9,19.06,2.39,0,,0.0,0,1
ORD-00170,Newark DC,Standard,5,1.6,4.5,10.68,2.28,0,,0.0,0,1
ORD-00171,Atlanta DC,Standard,5,2.2,4.6,16.73,3.08,0,,0.0,0,1
ORD-00172,Dallas DC,Freight,8,1.9,6.5,34.23,3.29,0,,0.0,0,1
ORD-00173,Chicago DC,Standard,4,1.7,4.5,16.64,2.65,0,,0.0,0,0
ORD-00174,Reno DC,Freight,8,1.0,6.6,60.74,4.42,0,,0.0,0,1
ORD-00175,Atlanta DC,Standard,5,1.8,5.8,13.06,2.39,0,,0.0,0,0
ORD-00176,Dallas DC,Standard,6,1.8,5.9,18.4,2.75,0,,0.0,0,1
ORD-00177,Reno DC,Express,4,1.9,2.8,20.17,2.61,0,,0.0,0,1
ORD-00178,Dallas DC,Freight,8,4.0,12.5,19.42,5.43,0,,0.0,1,0
ORD-00179,Newark DC,Standard,5,1.7,5.0,21.43,3.2,0,,0.0,0,1
ORD-00180,Reno DC,Standard,6,3.2,5.9,28.27,6.53,0,,0.0,1,1
ORD-00181,Newark DC,Express,3,1.4,3.9,28.32,3.14,0,,0.0,0,0
ORD-00182,Newark DC,Express,3,1.3,1.6,18.98,2.64,0,,0.0,0,1
ORD-00183,Reno DC,Standard,6,1.4,5.6,23.01,2.95,0,,0.0,0,1
ORD-00184,Newark DC,Standard,5,1.6,3.5,20.98,2.95,0,,0.0,0,1
ORD-00185,Chicago DC,Freight,6,1.9,4.5,29.56,3.33,0,,0.0,0,1
ORD-00186,Atlanta DC,Standard,5,1.9,5.5,11.49,2.48,0,,0.0,0,0
ORD-00187,Chicago DC,Standard,4,1.3,2.8,7.28,2.17,0,,0.0,0,1
ORD-00188,Chicago DC,Freight,6,1.1,5.0,29.66,2.97,0,,0.0,0,1
ORD-00189,Atlanta DC,Express,3,1.6,3.8,12.46,1.98,0,,0.0,0,0
ORD-00190,Reno DC,Freight,8,1.5,6.8,76.21,5.69,0,,0.0,0,1
ORD-00191,Newark DC,Standard,5,1.4,5.2,19.86,3.39,0,,0.0,0,0
ORD-00192,Dallas DC,Express,4,2.0,2.5,20.24,2.21,0,,0.0,0,1
ORD-00193,Newark DC,Express,3,1.5,1.9,22.23,2.89,0,,0.0,0,1
ORD-00194,Newark DC,Standard,5,2.1,4.2,23.7,3.87,0,,0.0,0,1
ORD-00195,Newark DC,Express,3,1.6,1.8,25.15,3.13,0,,0.0,0,1
ORD-00196,Newark DC,Standard,5,1.7,3.8,17.16,3.15,0,,0.0,0,1
ORD-00197,Reno DC,Freight,8,3.9,7.3,24.57,6.39,0,,0.0,1,1
ORD-00198,Chicago DC,Express,2,1.3,1.0,19.23,2.6,0,,0.0,0,1
ORD-00199,Newark DC,Express,3,1.8,2.1,19.47,2.63,0,,0.0,0,1
ORD-00200,Dallas DC,Standard,6,1.0,6.8,83.01,7.25,0,,0.0,0,0
ORD-00201,Dallas DC,Standard,6,1.1,4.5,15.13,2.46,0,,0.0,0,1
ORD-00202,Chicago DC,Standard,4,1.7,3.5,14.59,2.47,0,,0.0,0,1
ORD-00203,Atlanta DC,Standard,5,1.3,4.2,33.79,4.16,0,,0.0,0,1
ORD-00204,Reno DC,Standard,6,2.0,5.2,15.9,3.14,0,,0.0,0,1
ORD-00205,Newark DC,Freight,7,1.7,7.7,26.12,2.87,0,,0.0,0,0
ORD-00206,Chicago DC,Express,2,1.5,1.0,43.09,5.19,0,,0.0,0,1
ORD-00207,Newark DC,Standard,5,1.5,4.7,79.84,8.43,0,,0.0,0,1
ORD-00208,Newark DC,Express,3,1.2,1.5,25.54,2.98,1,Color mismatch,110.61,0,1
ORD-00209,Chicago DC,Standard,4,1.0,2.8,12.79,2.61,0,,0.0,0,1
ORD-00210,Reno DC,Standard,6,1.9,4.5,9.54,2.23,0,,0.0,0,1
ORD-00211,Chicago DC,Standard,4,1.1,3.1,26.71,3.77,0,,0.0,0,1
ORD-00212,Atlanta DC,Express,3,1.8,1.5,24.8,3.16,0,,0.0,0,1
ORD-00213,Newark DC,Freight,7,1.6,5.6,93.27,7.3,0,,0.0,0,1
ORD-00214,Atlanta DC,Express,3,1.5,4.1,66.67,4.99,0,,0.0,0,0
ORD-00215,Atlanta DC,Standard,5,1.7,3.5,54.15,6.99,0,,0.0,0,1
ORD-00216,Chicago DC,Express,2,1.6,1.7,11.69,2.4,0,,0.0,0,1
ORD-00217,Newark DC,Standard,5,1.5,3.5,76.24,7.84,0,,0.0,0,1
ORD-00218,Dallas DC,Express,4,1.5,2.6,69.52,4.5,0,,0.0,0,1
ORD-00219,Dallas DC,Express,4,1.8,3.8,17.79,2.42,0,,0.0,0,1
ORD-00220,Dallas DC,Express,4,1.5,3.6,82.26,5.55,0,,0.0,0,1
ORD-00221,Chicago DC,Freight,6,1.8,5.5,27.37,3.39,0,,0.0,0,1
ORD-00222,Atlanta DC,Standard,5,1.2,3.8,30.25,3.84,0,,0.0,0,1
ORD-00223,Chicago DC,Express,2,1.4,1.0,13.65,2.31,0,,0.0,0,1
ORD-00224,Dallas DC,Standard,6,2.9,5.9,18.47,2.47,0,,0.0,0,1
ORD-00225,Dallas DC,Standard,6,2.0,5.6,23.73,3.28,0,,0.0,0,1
ORD-00226,Newark DC,Express,3,1.4,2.3,24.14,2.78,0,,0.0,0,1
ORD-00227,Atlanta DC,Freight,7,2.3,6.4,46.49,4.54,0,,0.0,0,1
ORD-00228,Newark DC,Express,3,1.8,3.4,21.79,2.76,0,,0.0,0,0
ORD-00229,Chicago DC,Standard,4,1.3,3.3,37.84,4.93,0,,0.0,0,1
ORD-00230,Chicago DC,Standard,4,1.3,4.5,33.67,4.53,0,,0.0,0,0
ORD-00231,Reno DC,Standard,6,2.0,5.6,24.24,3.2,0,,0.0,0,1
ORD-00232,Dallas DC,Standard,6,1.5,6.4,14.58,2.65,0,,0.0,0,0
ORD-00233,Chicago DC,Express,2,1.5,1.0,138.93,10.43,0,,0.0,0,1
ORD-00234,Atlanta DC,Freight,7,1.6,6.1,16.7,2.53,0,,0.0,0,1
ORD-00235,Newark DC,Standard,5,1.4,4.0,13.02,2.33,0,,0.0,0,1
ORD-00236,Newark DC,Standard,5,1.7,5.5,9.09,2.31,0,,0.0,0,0
ORD-00237,Reno DC,Standard,6,1.5,4.6,21.53,2.8,0,,0.0,0,1
ORD-00238,Atlanta DC,Standard,5,1.4,4.8,107.39,11.23,0,,0.0,0,1
ORD-00239,Dallas DC,Standard,6,1.6,6.3,20.68,2.8,0,,0.0,0,0
ORD-00240,Newark DC,Standard,5,1.8,4.6,29.87,4.7,0,,0.0,0,1
ORD-00241,Dallas DC,Standard,6,1.3,4.6,17.97,2.38,0,,0.0,0,1
ORD-00242,Atlanta DC,Standard,5,1.7,3.5,97.28,10.0,1,Incorrect item,116.84,0,1
ORD-00243,Atlanta DC,Standard,5,1.7,6.2,17.36,2.39,0,,0.0,0,0
ORD-00244,Dallas DC,Express,4,1.8,2.6,37.26,3.82,0,,0.0,0,1
ORD-00245,Dallas DC,Freight,8,1.7,6.5,42.55,4.1,0,,0.0,0,1
ORD-00246,Newark DC,Standard,5,1.8,5.1,16.01,2.74,0,,0.0,0,0
ORD-00247,Newark DC,Standard,5,2.0,3.6,14.04,2.5,1,Setup difficulty,205.85,0,1
ORD-00248,Dallas DC,Freight,8,1.6,7.4,26.51,2.75,1,Damaged packaging,18.93,0,1
ORD-00249,Atlanta DC,Standard,5,1.2,3.5,15.73,2.64,1,Style preference,132.01,0,1
ORD-00250,Reno DC,Standard,6,1.6,4.5,26.34,3.85,0,,0.0,0,1
ORD-00251,Newark DC,Standard,5,1.9,5.1,19.26,3.48,0,,0.0,0,0
ORD-00252,Chicago DC,Express,2,1.6,1.7,100.4,7.99,0,,0.0,0,1
ORD-00253,Reno DC,Standard,6,1.6,5.8,38.59,4.76,0,,0.0,0,1
ORD-00254,Reno DC,Standard,6,1.3,6.6,13.39,2.4,0,,0.0,0,0
ORD-00255,Chicago DC,Freight,6,1.8,4.5,32.49,3.35,0,,0.0,0,1
ORD-00256,Dallas DC,Standard,6,1.3,4.5,29.74,3.65,0,,0.0,0,1
ORD-00257,Dallas DC,Express,4,1.8,2.5,61.69,5.96,0,,0.0,0,1
ORD-00258,Atlanta DC,Express,3,1.9,4.5,16.97,2.57,0,,0.0,0,0
ORD-00259,Dallas DC,Standard,6,4.7,8.8,20.87,6.02,0,,0.0,1,0
ORD-00260,Reno DC,Standard,6,1.5,5.4,78.61,5.92,0,,0.0,0,1
ORD-00261,Chicago DC,Standard,4,3.2,5.4,43.81,8.66,0,,0.0,1,0
ORD-00262,Atlanta DC,Standard,5,1.5,5.2,90.04,8.64,0,,0.0,0,0
ORD-00263,Dallas DC,Freight,8,1.4,7.9,64.61,5.25,0,,0.0,0,1
ORD-00264,Chicago DC,Express,2,1.8,1.0,27.08,3.11,0,,0.0,0,1
ORD-00265,Atlanta DC,Express,3,1.4,3.7,51.71,5.61,0,,0.0,0,0
ORD-00266,Newark DC,Standard,5,1.9,3.9,22.84,3.51,0,,0.0,0,1
ORD-00267,Chicago DC,Standard,4,1.3,5.3,10.45,2.46,0,,0.0,0,0
ORD-00268,Reno DC,Standard,6,1.2,4.5,81.57,7.73,0,,0.0,0,1
ORD-00269,Newark DC,Express,3,1.4,1.6,16.83,2.22,0,,0.0,0,1
ORD-00270,Chicago DC,Standard,4,1.9,3.3,8.82,2.26,0,,0.0,0,1
ORD-00271,Chicago DC,Standard,4,1.7,2.9,21.54,2.68,0,,0.0,0,1
ORD-00272,Dallas DC,Standard,6,1.5,6.1,60.49,5.22,0,,0.0,0,0
ORD-00273,Newark DC,Standard,5,3.9,5.3,43.16,8.15,0,,0.0,1,0
ORD-00274,Newark DC,Freight,7,1.6,5.5,36.35,3.14,0,,0.0,0,1
ORD-00275,Reno DC,Freight,8,1.8,8.4,37.74,4.15,0,,0.0,0,0
ORD-00276,Dallas DC,Freight,8,2.9,9.6,48.76,3.69,1,Late delivery,225.05,0,0
ORD-00277,Dallas DC,Freight,8,1.5,7.0,31.09,3.39,0,,0.0,0,1
ORD-00278,Reno DC,Standard,6,2.0,6.6,18.38,2.47,0,,0.0,0,0
ORD-00279,Newark DC,Freight,7,2.0,6.0,24.37,2.41,0,,0.0,0,1
ORD-00280,Chicago DC,Standard,4,1.6,2.5,9.73,2.39,0,,0.0,0,1
ORD-00281,Chicago DC,Standard,4,1.6,4.4,9.63,1.95,0,,0.0,0,0
ORD-00282,Chicago DC,Standard,4,1.8,2.5,13.95,2.94,0,,0.0,0,1
ORD-00283,Reno DC,Standard,6,1.6,6.3,18.88,2.52,0,,0.0,0,0
ORD-00284,Newark DC,Express,3,1.4,3.2,19.85,2.58,0,,0.0,0,0
ORD-00285,Atlanta DC,Standard,5,2.2,3.7,15.17,3.09,0,,0.0,0,1
ORD-00286,Dallas DC,Freight,8,2.3,8.4,48.68,3.74,0,,0.0,0,0
ORD-00287,Reno DC,Freight,8,1.5,8.6,43.39,3.72,0,,0.0,0,0
ORD-00288,Newark DC,Express,3,2.0,2.7,17.79,2.13,0,,0.0,0,1
ORD-00289,Reno DC,Standard,6,1.6,5.2,21.34,3.67,0,,0.0,0,1
ORD-00290,Chicago DC,Standard,4,1.8,4.2,49.28,5.63,1,Style preference,627.23,0,0
ORD-00291,Atlanta DC,Standard,5,1.3,5.1,11.0,2.44,0,,0.0,0,0
ORD-00292,Dallas DC,Express,4,1.6,2.5,33.79,3.36,0,,0.0,0,1
ORD-00293,Chicago DC,Express,2,1.8,1.0,12.95,2.11,0,,0.0,0,1
ORD-00294,Newark DC,Standard,5,1.6,3.9,145.28,13.46,0,,0.0,0,1
ORD-00295,Atlanta DC,Standard,5,1.2,3.5,95.76,9.34,0,,0.0,0,1
