order_id,order_date,region,state,customer_segment,sales_channel,product_category,product_subcategory,product_name,units,unit_price,discount_pct,cogs_per_unit
ORD-00034,2024-02-22,Southeast,Georgia,Enterprise,Direct Sales,Electronics,Laptops,Nimbus Laptop,4,1193.93,0.1635,757.39
ORD-00035,2024-10-31,West,Washington,SMB,Distributor,Furniture,Storage,Filing Cabinet,2,247.82,0.1179,136.24
ORD-00036,2024-03-13,Southwest,Arizona,Consumer,Retail,Apparel,Uniforms,Service Polo,5,32.58,0.1194,15.55
ORD-00037,2025-12-06,Southeast,Georgia,SMB,Distributor,Industrial,Tools,Inspection Kit,4,151.21,0.102,85.36
ORD-00038,2024-06-28,Midwest,Michigan,SMB,Retail,Office Supplies,Organizers,Label Pack,74,15.32,0.0791,7.22
ORD-00039,2024-02-07,Midwest,Ohio,Enterprise,Distributor,Furniture,Storage,Filing Cabinet,7,258.36,0.1189,141.19
ORD-00040,2024-01-30,West,Colorado,Consumer,Online,Apparel,Uniforms,Team Hoodie,15,54.33,0.1548,25.96
ORD-00041,2025-04-28,Southeast,North Carolina,Enterprise,Distributor,Electronics,Tablets,Orbit Tablet,6,677.81,0.1706,448.97
ORD-00042,2025-01-21,Midwest,Ohio,Consumer,Online,Industrial,Components,Hydraulic Valve,4,296.91,0.1023,165.89
ORD-00043,2025-08-27,Southeast,Florida,Enterprise,Direct Sales,Industrial,Components,Hydraulic Valve,27,302.7,0.0911,186.4
ORD-00044,2025-10-03,Southwest,Arizona,Enterprise,Direct Sales,Industrial,Maintenance,Filter Module,13,145.14,0.0874,78.49
ORD-00045,2024-10-27,Southeast,Georgia,SMB,Distributor,Electronics,Tablets,Orbit Tablet,3,597.9,0.1761,414.45
ORD-00046,2024-06-10,Northeast,Massachusetts,Enterprise,Retail,Industrial,Maintenance,Seal Pack,18,62.18,0.076,33.2
ORD-00047,2024-10-08,Northeast,Pennsylvania,Consumer,Distributor,Apparel,Branded Gear,Embroidered Cap,11,19.07,0.1119,8.82
ORD-00048,2024-02-04,Midwest,Michigan,Consumer,Online,Electronics,Accessories,Dock Station,2,136.85,0.1362,98.1
ORD-00049,2024-12-12,Southwest,Arizona,Enterprise,Retail,Industrial,Maintenance,Filter Module,25,144.72,0.099,85.77
ORD-00050,2024-01-26,Midwest,Michigan,SMB,Distributor,Furniture,Storage,Wall Storage,6,321.55,0.1222,179.03
ORD-00051,2025-12-14,West,Washington,SMB,Retail,Office Supplies,Paper,Premium Paper Box,90,51.66,0.0935,21.43
ORD-00052,2024-07-13,West,Washington,Enterprise,Distributor,Electronics,Laptops,Nimbus Laptop,7,1079.5,0.0988,725.54
ORD-00053,2024-01-03,Southeast,Florida,SMB,Direct Sales,Industrial,Tools,Inspection Kit,3,132.12,0.0807,78.0
ORD-00054,2025-04-07,Midwest,Michigan,Consumer,Retail,Electronics,Networking,Smart Switch,1,288.59,0.1244,188.79
ORD-00055,2025-10-10,Midwest,Michigan,Consumer,Online,Furniture,Desks,Studio Desk,3,438.87,0.1538,243.02
ORD-00056,2024-11-16,Southeast,North Carolina,Consumer,Retail,Electronics,Accessories,Dock Station,1,155.11,0.1728,98.59
ORD-00057,2025-11-12,West,Washington,SMB,Retail,Industrial,Maintenance,Seal Pack,14,54.44,0.0902,27.31
ORD-00058,2025-09-28,Midwest,Michigan,SMB,Direct Sales,Office Supplies,Writing,Gel Pen Bundle,35,15.51,0.0829,8.5
ORD-00059,2025-06-27,Northeast,Massachusetts,Enterprise,Direct Sales,Office Supplies,Writing,Notebook Set,96,26.19,0.0466,11.09
ORD-00060,2024-10-17,Southwest,New Mexico,SMB,Online,Office Supplies,Organizers,Label Pack,19,12.9,0.084,5.7
ORD-00061,2025-05-27,Midwest,Michigan,Enterprise,Online,Industrial,Tools,Diagnostic Meter,4,260.72,0.0623,131.36
ORD-00062,2025-01-05,Northeast,New York,SMB,Distributor,Electronics,Accessories,Pro Headset,6,172.78,0.1234,106.85
ORD-00063,2024-04-15,Northeast,New York,Enterprise,Distributor,Electronics,Laptops,Nimbus Laptop,12,1130.01,0.1176,783.76
ORD-00064,2024-11-06,Southwest,New Mexico,SMB,Online,Electronics,Accessories,Dock Station,1,143.02,0.1236,97.38
ORD-00065,2025-10-29,Northeast,Pennsylvania,Enterprise,Direct Sales,Office Supplies,Paper,Premium Paper Box,111,48.63,0.0644,19.74
ORD-00066,2025-10-08,Southwest,Texas,SMB,Distributor,Furniture,Desks,Studio Desk,6,481.18,0.1631,278.14
ORD-00067,2024-03-27,Southeast,Georgia,SMB,Online,Apparel,Branded Gear,Quarter Zip,39,41.22,0.1151,17.36
ORD-00068,2025-06-03,Southwest,New Mexico,Enterprise,Direct Sales,Industrial,Maintenance,Lubricant Kit,23,73.1,0.0699,43.6
ORD-00069,2024-10-18,Southwest,Arizona,Enterprise,Retail,Electronics,Accessories,Dock Station,7,151.1,0.1071,99.49
ORD-00070,2025-01-15,Midwest,Illinois,Consumer,Online,Apparel,Uniforms,Shift Uniform,10,46.04,0.1254,21.47
ORD-00071,2025-01-30,West,Washington,SMB,Online,Electronics,Networking,Mesh Router,3,222.45,0.1325,147.26
ORD-00072,2025-03-09,Northeast,Massachusetts,Enterprise,Direct Sales,Electronics,Accessories,Dock Station,3,155.24,0.1,103.85
ORD-00073,2025-11-15,Northeast,Massachusetts,SMB,Distributor,Electronics,Laptops,ThinkCore Laptop,8,909.28,0.1216,592.0
ORD-00074,2025-12-02,Midwest,Michigan,SMB,Online,Office Supplies,Organizers,Desk Organizer,49,30.6,0.0987,16.61
ORD-00075,2024-02-18,West,Washington,Consumer,Online,Furniture,Desks,Studio Desk,2,475.66,0.1416,312.44
ORD-00076,2024-11-24,Northeast,Massachusetts,SMB,Distributor,Apparel,Safety Wear,Safety Vest,34,25.57,0.1013,12.06
ORD-00077,2025-11-26,Northeast,New York,SMB,Direct Sales,Electronics,Laptops,Nimbus Laptop,2,1077.98,0.1194,700.51
ORD-00078,2024-10-12,Southeast,Florida,Enterprise,Direct Sales,Electronics,Laptops,ThinkCore Laptop,6,1025.79,0.1414,710.16
ORD-00079,2025-11-29,West,Washington,Consumer,Online,Apparel,Safety Wear,Protective Jacket,7,92.24,0.1628,40.52
ORD-00080,2025-07-18,Northeast,New York,SMB,Direct Sales,Electronics,Accessories,Conference Cam,7,222.27,0.1147,137.39
ORD-00081,2024-07-05,Southwest,Texas,Consumer,Online,Furniture,Chairs,Task Stool,1,185.2,0.1699,124.49
ORD-00082,2024-04-05,Midwest,Illinois,SMB,Online,Office Supplies,Writing,Notebook Set,17,29.92,0.0759,12.47
ORD-00083,2024-10-23,Southwest,Arizona,Consumer,Retail,Office Supplies,Writing,Marker Kit,7,25.05,0.0847,11.83
ORD-00084,2024-04-18,Southeast,Georgia,SMB,Online,Electronics,Laptops,ThinkCore Laptop,7,1054.04,0.1675,770.39
ORD-00085,2024-11-11,Midwest,Illinois,SMB,Retail,Industrial,Tools,Inspection Kit,14,130.03,0.0634,70.69
ORD-00086,2024-02-22,Midwest,Illinois,Enterprise,Direct Sales,Furniture,Desks,Studio Desk,4,470.16,0.1137,288.36
ORD-00087,2025-02-15,Midwest,Illinois,Consumer,Retail,Electronics,Accessories,Dock Station,2,141.96,0.1284,89.13
ORD-00088,2025-11-20,Northeast,Massachusetts,Consumer,Retail,Office Supplies,Paper,Recycled Paper Pack,20,21.29,0.0897,11.62
ORD-00089,2025-11-28,Southeast,North Carolina,Enterprise,Direct Sales,Industrial,Components,Bearing Set,8,91.48,0.0711,50.34
ORD-00090,2024-06-26,Midwest,Michigan,SMB,Direct Sales,Furniture,Storage,Mobile Pedestal,6,191.64,0.1079,114.62
ORD-00091,2025-05-15,Southeast,Georgia,Consumer,Retail,Office Supplies,Writing,Gel Pen Bundle,23,16.67,0.0914,9.29
ORD-00092,2024-07-25,West,Washington,SMB,Online,Industrial,Maintenance,Filter Module,10,127.2,0.1051,70.51
ORD-00093,2024-06-10,Southeast,Georgia,SMB,Retail,Office Supplies,Writing,Marker Kit,19,26.0,0.0677,12.9
ORD-00094,2025-05-22,Northeast,Pennsylvania,Consumer,Retail,Industrial,Tools,Diagnostic Meter,5,267.41,0.1179,140.9
ORD-00095,2024-12-04,Northeast,Massachusetts,Consumer,Online,Apparel,Safety Wear,Protective Jacket,20,91.64,0.1258,39.91
ORD-00096,2024-08-29,Midwest,Ohio,Enterprise,Distributor,Industrial,Tools,Diagnostic Meter,24,256.03,0.0621,141.71
ORD-00097,2024-10-29,Southeast,Florida,Enterprise,Direct Sales,Electronics,Networking,Smart Switch,10,336.13,0.1577,239.73
ORD-00098,2025-07-14,West,California,Enterprise,Direct Sales,Office Supplies,Organizers,Desk Organizer,107,30.62,0.0725,12.97
ORD-00099,2024-01-23,Southeast,Florida,Consumer,Online,Apparel,Safety Wear,Hi-Vis Hoodie,4,65.11,0.1118,30.94
ORD-00100,2025-04-04,West,Washington,SMB,Direct Sales,Furniture,Storage,Filing Cabinet,6,257.96,0.1036,170.03
ORD-00101,2025-03-10,Midwest,Illinois,SMB,Online,Furniture,Storage,Filing Cabinet,1,255.77,0.1276,161.63
ORD-00102,2024-08-27,Midwest,Illinois,Consumer,Online,Electronics,Networking,Secure Gateway,3,404.31,0.1463,290.47
ORD-00103,2025-07-23,Midwest,Ohio,SMB,Direct Sales,Industrial,Components,Drive Assembly,16,407.33,0.059,197.86
ORD-00104,2025-02-01,Southeast,Florida,Enterprise,Direct Sales,Furniture,Desks,Modular Desk,6,567.23,0.1007,324.58
ORD-00105,2024-12-06,Southeast,Florida,Enterprise,Distributor,Electronics,Accessories,Dock Station,11,151.77,0.1669,98.85
ORD-00106,2024-11-23,West,Washington,Enterprise,Online,Furniture,Storage,Filing Cabinet,2,232.07,0.138,141.45
ORD-00107,2024-09-20,Southwest,Arizona,SMB,Distributor,Industrial,Tools,Inspection Kit,14,133.07,0.1016,72.97
ORD-00108,2025-10-07,Southeast,North Carolina,Enterprise,Direct Sales,Electronics,Laptops,Apex Workstation,12,1393.62,0.1535,945.09
ORD-00109,2025-11-21,Midwest,Illinois,Enterprise,Direct Sales,Electronics,Tablets,FieldTab Pro,10,695.11,0.1056,484.8
ORD-00110,2024-02-02,Northeast,Massachusetts,SMB,Distributor,Furniture,Storage,Filing Cabinet,1,242.39,0.123,153.71
ORD-00111,2025-05-01,Southeast,Florida,SMB,Distributor,Apparel,Branded Gear,Event Tee,17,23.92,0.0994,11.59
ORD-00112,2024-12-05,Southeast,North Carolina,Consumer,Retail,Electronics,Networking,Mesh Router,1,239.68,0.1952,158.78
ORD-00113,2024-12-30,Midwest,Ohio,SMB,Direct Sales,Office Supplies,Paper,Recycled Paper Pack,49,23.4,0.0814,9.88
ORD-00114,2024-05-15,Northeast,Massachusetts,SMB,Distributor,Office Supplies,Paper,Copy Paper Pack,57,18.36,0.0779,9.5
ORD-00115,2025-06-17,Northeast,Massachusetts,SMB,Online,Electronics,Tablets,Orbit Tablet,3,638.87,0.1176,423.74
ORD-00116,2025-09-27,Southeast,Georgia,SMB,Direct Sales,Furniture,Storage,Mobile Pedestal,2,175.33,0.1181,109.31
ORD-00117,2024-11-29,Southeast,Georgia,Consumer,Online,Furniture,Storage,Filing Cabinet,3,253.96,0.1308,159.3
ORD-00118,2024-09-15,Southwest,New Mexico,SMB,Distributor,Furniture,Storage,Wall Storage,5,327.41,0.1602,219.51
ORD-00119,2025-11-04,Southwest,Texas,Enterprise,Retail,Office Supplies,Organizers,Archive Bin,121,47.88,0.0603,21.49
ORD-00120,2024-01-26,Midwest,Ohio,Consumer,Online,Office Supplies,Ink,Color Ink Set,14,51.05,0.1135,24.92
ORD-00121,2025-10-25,Northeast,New York,SMB,Distributor,Industrial,Maintenance,Lubricant Kit,13,75.54,0.1088,38.71
ORD-00122,2024-07-29,Southeast,North Carolina,Enterprise,Direct Sales,Apparel,Branded Gear,Event Tee,31,21.53,0.0887,8.33
ORD-00123,2025-09-24,Northeast,Pennsylvania,SMB,Distributor,Apparel,Uniforms,Team Hoodie,14,56.63,0.0972,20.75
ORD-00124,2024-06-26,Midwest,Ohio,Enterprise,Distributor,Furniture,Storage,Filing Cabinet,8,236.31,0.1053,131.48
ORD-00125,2024-03-25,Midwest,Illinois,Enterprise,Direct Sales,Furniture,Chairs,Summit Chair,6,379.32,0.118,229.86
ORD-00126,2024-04-14,Southwest,New Mexico,SMB,Retail,Apparel,Safety Wear,Protective Jacket,28,94.62,0.0876,44.58
ORD-00127,2025-09-22,Northeast,New York,SMB,Distributor,Industrial,Maintenance,Seal Pack,8,56.74,0.1011,29.53
ORD-00128,2024-05-09,Southwest,Texas,Consumer,Retail,Electronics,Accessories,Pro Headset,2,184.31,0.1181,120.83
ORD-00129,2025-05-14,Southeast,Florida,SMB,Online,Industrial,Components,Drive Assembly,14,439.94,0.1089,235.67
ORD-00130,2024-02-19,Northeast,Pennsylvania,SMB,Online,Apparel,Uniforms,Service Polo,35,29.44,0.1237,11.14
ORD-00131,2025-01-15,Southwest,New Mexico,SMB,Online,Electronics,Tablets,Astra Tablet,2,607.07,0.105,402.15
ORD-00132,2024-04-01,Southwest,Texas,SMB,Online,Electronics,Accessories,Dock Station,3,135.19,0.1219,91.54
ORD-00133,2024-04-12,Northeast,New York,SMB,Retail,Office Supplies,Writing,Gel Pen Bundle,43,15.52,0.0575,7.5
ORD-00134,2024-10-29,Southwest,Texas,Enterprise,Direct Sales,Office Supplies,Paper,Recycled Paper Pack,133,24.11,0.0846,13.26
ORD-00135,2024-01-18,Midwest,Illinois,Enterprise,Direct Sales,Furniture,Desks,Studio Desk,4,454.58,0.11,268.13
ORD-00136,2025-02-04,Midwest,Michigan,Enterprise,Distributor,Apparel,Branded Gear,Event Tee,11,21.21,0.1127,7.77
ORD-00137,2024-12-21,Midwest,Michigan,SMB,Direct Sales,Electronics,Networking,Secure Gateway,2,444.72,0.1009,310.76
ORD-00138,2024-09-18,Southwest,New Mexico,Enterprise,Distributor,Apparel,Uniforms,Shift Uniform,8,44.34,0.0992,17.9
ORD-00139,2025-03-02,West,Washington,Enterprise,Direct Sales,Furniture,Storage,Mobile Pedestal,2,171.41,0.1191,112.75
ORD-00140,2024-11-07,Southwest,Texas,SMB,Distributor,Furniture,Chairs,Task Stool,5,200.81,0.1524,112.61
ORD-00141,2024-11-10,Northeast,Pennsylvania,Enterprise,Retail,Industrial,Tools,Inspection Kit,12,131.14,0.0976,79.42
ORD-00142,2025-03-21,Southwest,Texas,SMB,Online,Electronics,Accessories,Conference Cam,6,205.22,0.1132,126.87
ORD-00143,2024-07-31,Midwest,Ohio,Enterprise,Direct Sales,Furniture,Storage,Wall Storage,8,345.46,0.1131,195.46
ORD-00144,2025-04-08,Midwest,Michigan,SMB,Direct Sales,Furniture,Chairs,Ergo Chair,1,260.71,0.1234,147.74
ORD-00145,2024-03-07,Northeast,Pennsylvania,Enterprise,Online,Office Supplies,Writing,Gel Pen Bundle,25,17.43,0.0615,9.39
ORD-00146,2025-09-20,Midwest,Illinois,Consumer,Retail,Apparel,Safety Wear,Safety Vest,4,25.23,0.1041,9.54
ORD-00147,2025-07-11,Southwest,Arizona,SMB,Distributor,Industrial,Tools,Torque Wrench,13,184.95,0.0809,109.77
ORD-00148,2024-02-27,Southwest,Texas,Consumer,Online,Office Supplies,Ink,Black Ink Set,12,39.01,0.1142,20.08
ORD-00149,2025-05-19,Midwest,Illinois,Enterprise,Direct Sales,Office Supplies,Ink,Black Ink Set,87,38.23,0.065,19.2
ORD-00150,2025-06-22,West,California,Consumer,Online,Furniture,Chairs,Summit Chair,2,352.1,0.1593,221.08
ORD-00151,2024-12-31,Southeast,North Carolina,SMB,Direct Sales,Apparel,Safety Wear,Safety Vest,17,27.33,0.1185,13.2
ORD-00152,2024-05-24,Southeast,Florida,Consumer,Online,Electronics,Laptops,Apex Workstation,3,1340.53,0.178,874.63
ORD-00153,2025-05-19,West,Washington,Enterprise,Direct Sales,Office Supplies,Ink,Black Ink Set,77,35.46,0.0804,16.11
ORD-00154,2025-09-20,West,Colorado,Consumer,Online,Electronics,Accessories,Dock Station,1,136.04,0.1262,85.83
ORD-00155,2025-05-17,Northeast,Massachusetts,Enterprise,Distributor,Electronics,Accessories,Dock Station,3,134.07,0.1001,86.09
ORD-00156,2025-01-13,Northeast,New York,SMB,Online,Furniture,Desks,Studio Desk,1,416.77,0.1359,229.89
ORD-00157,2025-07-02,Southwest,Arizona,SMB,Online,Office Supplies,Organizers,Label Pack,16,14.15,0.102,7.5
ORD-00158,2025-11-30,Midwest,Michigan,SMB,Online,Electronics,Laptops,Nimbus Laptop,7,1142.56,0.1316,804.62
ORD-00159,2024-04-12,West,Colorado,Consumer,Retail,Apparel,Safety Wear,Protective Jacket,10,87.03,0.1296,37.88
ORD-00160,2024-10-02,West,California,Consumer,Online,Furniture,Desks,Studio Desk,3,412.58,0.1561,229.45
ORD-00161,2025-02-20,Southwest,New Mexico,SMB,Distributor,Industrial,Tools,Torque Wrench,12,188.59,0.0921,111.13
ORD-00162,2025-01-12,West,Colorado,Consumer,Retail,Furniture,Chairs,Summit Chair,2,369.69,0.1253,238.25
ORD-00163,2024-06-15,West,California,SMB,Direct Sales,Industrial,Components,Drive Assembly,16,415.08,0.0959,255.44
ORD-00164,2024-10-08,Southeast,Georgia,Enterprise,Direct Sales,Industrial,Components,Drive Assembly,20,438.03,0.0769,216.53
ORD-00165,2024-03-06,Southeast,Georgia,Consumer,Online,Apparel,Branded Gear,Quarter Zip,11,41.97,0.1255,16.1
ORD-00166,2025-02-18,Southeast,Florida,Consumer,Retail,Office Supplies,Writing,Notebook Set,27,26.88,0.096,14.19
ORD-00167,2024-05-11,Southwest,New Mexico,Consumer,Online,Apparel,Branded Gear,Embroidered Cap,4,17.28,0.1167,8.16
ORD-00168,2025-04-28,West,Colorado,Consumer,Online,Electronics,Accessories,Dock Station,2,136.99,0.126,89.73
ORD-00169,2024-06-30,Southeast,Florida,SMB,Direct Sales,Electronics,Tablets,FieldTab Pro,3,725.85,0.1629,460.69
ORD-00170,2025-06-27,Northeast,Pennsylvania,Consumer,Online,Electronics,Networking,Smart Switch,2,290.93,0.1351,187.26
ORD-00171,2024-05-17,Southeast,Georgia,Enterprise,Online,Furniture,Desks,Modular Desk,3,518.6,0.1395,293.19
ORD-00172,2024-02-19,Southwest,New Mexico,Enterprise,Direct Sales,Industrial,Components,Bearing Set,7,93.7,0.0792,46.98
ORD-00173,2024-04-17,Midwest,Michigan,Enterprise,Direct Sales,Electronics,Tablets,FieldTab Pro,5,763.22,0.1099,547.26
ORD-00174,2024-04-23,West,Colorado,Consumer,Retail,Office Supplies,Paper,Recycled Paper Pack,28,20.64,0.0877,9.18
ORD-00175,2024-11-16,Southeast,Florida,Consumer,Online,Electronics,Tablets,FieldTab Pro,2,704.99,0.2068,514.68
ORD-00176,2025-03-07,Southwest,Texas,Consumer,Online,Electronics,Tablets,Orbit Tablet,4,693.77,0.1345,466.62
ORD-00177,2025-05-09,West,California,Enterprise,Direct Sales,Industrial,Maintenance,Seal Pack,4,60.72,0.0853,35.67
ORD-00178,2024-12-20,Southwest,New Mexico,Consumer,Online,Furniture,Storage,Filing Cabinet,1,248.59,0.1697,164.53
ORD-00179,2024-08-28,Northeast,Massachusetts,SMB,Direct Sales,Apparel,Safety Wear,Protective Jacket,13,96.49,0.1024,34.01
ORD-00180,2025-04-12,West,Washington,Consumer,Retail,Apparel,Safety Wear,Hi-Vis Hoodie,17,67.14,0.1259,27.75
ORD-00181,2025-05-19,Northeast,Pennsylvania,SMB,Online,Apparel,Uniforms,Shift Uniform,13,50.02,0.1068,20.71
ORD-00182,2025-05-31,Northeast,Massachusetts,Consumer,Online,Electronics,Accessories,Conference Cam,4,228.14,0.1434,162.01
ORD-00183,2025-03-04,West,Colorado,SMB,Retail,Apparel,Safety Wear,Protective Jacket,14,83.15,0.1181,39.42
ORD-00184,2025-11-19,Northeast,Pennsylvania,Consumer,Online,Apparel,Branded Gear,Quarter Zip,12,46.11,0.1428,19.77
ORD-00185,2024-01-14,Midwest,Illinois,Enterprise,Direct Sales,Furniture,Desks,Modular Desk,4,563.23,0.0994,308.34
ORD-00186,2025-02-02,Southeast,North Carolina,Consumer,Distributor,Electronics,Accessories,Pro Headset,3,196.89,0.1666,139.16
ORD-00187,2025-08-25,Midwest,Michigan,Consumer,Online,Electronics,Accessories,Dock Station,1,138.28,0.1252,92.17
ORD-00188,2024-11-26,Midwest,Michigan,Consumer,Online,Apparel,Branded Gear,Quarter Zip,13,41.06,0.1412,17.39
ORD-00189,2025-11-10,Southeast,Georgia,Consumer,Retail,Electronics,Accessories,Conference Cam,1,197.54,0.1804,128.69
ORD-00190,2024-01-26,West,Washington,SMB,Distributor,Office Supplies,Writing,Notebook Set,36,27.37,0.0725,11.62
ORD-00191,2024-04-16,Northeast,Pennsylvania,SMB,Distributor,Industrial,Tools,Inspection Kit,7,129.4,0.1015,62.8
ORD-00192,2025-02-02,Southwest,New Mexico,Consumer,Online,Electronics,Laptops,Apex Workstation,1,1319.08,0.1351,846.69
ORD-00193,2024-08-13,Northeast,Massachusetts,Consumer,Online,Apparel,Branded Gear,Event Tee,11,22.92,0.1374,10.57
ORD-00194,2024-11-08,Northeast,Pennsylvania,Enterprise,Direct Sales,Industrial,Maintenance,Filter Module,8,125.26,0.0716,74.76
ORD-00195,2025-07-16,Northeast,Pennsylvania,Enterprise,Distributor,Electronics,Accessories,Pro Headset,7,169.75,0.1147,105.42
ORD-00196,2025-03-14,Northeast,Massachusetts,Enterprise,Distributor,Electronics,Accessories,Pro Headset,7,169.95,0.117,120.08
ORD-00197,2024-05-23,West,California,Consumer,Online,Furniture,Chairs,Ergo Chair,3,289.43,0.1544,176.4
ORD-00198,2024-05-17,Midwest,Michigan,SMB,Online,Electronics,Tablets,FieldTab Pro,3,760.53,0.1092,477.24
ORD-00199,2024-08-25,Northeast,Massachusetts,Consumer,Online,Electronics,Networking,Smart Switch,4,336.42,0.1464,206.69
ORD-00200,2025-08-24,Southwest,Texas,SMB,Retail,Office Supplies,Organizers,Archive Bin,56,48.37,0.0795,24.22
ORD-00201,2024-05-01,Southwest,Arizona,Consumer,Online,Apparel,Safety Wear,Protective Jacket,8,90.32,0.1294,36.81
ORD-00202,2025-02-19,Midwest,Michigan,Consumer,Retail,Apparel,Safety Wear,Safety Vest,8,26.02,0.1298,12.27
ORD-00203,2025-12-03,Southeast,Georgia,Enterprise,Direct Sales,Office Supplies,Ink,Black Ink Set,22,36.34,0.0808,17.65
ORD-00204,2024-05-13,West,Colorado,Consumer,Retail,Industrial,Maintenance,Seal Pack,5,57.75,0.1162,33.36
ORD-00205,2025-08-12,Northeast,New York,Consumer,Distributor,Furniture,Chairs,Summit Chair,3,388.01,0.1373,218.33
ORD-00206,2025-10-29,Midwest,Ohio,Enterprise,Direct Sales,Industrial,Components,Drive Assembly,16,432.92,0.0574,246.65
ORD-00207,2025-11-06,Northeast,New York,SMB,Online,Office Supplies,Ink,Toner Cartridge,63,89.17,0.089,43.88
ORD-00208,2025-01-14,Northeast,New York,Consumer,Online,Apparel,Branded Gear,Quarter Zip,11,46.12,0.1279,22.25
